YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,Maryland,Some college but no degree,672
2012,Massachusetts,10th grade,79
2012,Massachusetts,11th grade,90
2012,Massachusetts,12th grade no diploma,28
2012,Massachusetts,"1st,2nd,3rd,or 4th grade",15
2012,Massachusetts,5th or 6th grade,22
2012,Massachusetts,7th and 8th grade,69
2012,Massachusetts,9th grade,81
2012,Massachusetts,Associate degree in college - academic program,124
2012,Massachusetts,Associate degree in college - occupation/vocation program,77
2012,Massachusetts,Bachelor's degree,500
2012,Massachusetts,Children,642
2012,Massachusetts,Doctorate degree,40
2012,Massachusetts,High school graduate - high school diploma or equivalent,558
2012,Massachusetts,Less than 1st grade,7
2012,Massachusetts,Master's degree,259
2012,Massachusetts,Professional school degree,56
2012,Massachusetts,Some college but no degree,346
2012,Michigan,10th grade,140
2012,Michigan,11th grade,182
2012,Michigan,12th grade no diploma,40
2012,Michigan,"1st,2nd,3rd,or 4th grade",11
2012,Michigan,5th or 6th grade,29
2012,Michigan,7th and 8th grade,65
2012,Michigan,9th grade,101
2012,Michigan,Associate degree in college - academic program,237
2012,Michigan,Associate degree in college - occupation/vocation program,107
2012,Michigan,Bachelor's degree,567
2012,Michigan,Children,1078
2012,Michigan,Doctorate degree,46
2012,Michigan,High school graduate - high school diploma or equivalent,992
2012,Michigan,Less than 1st grade,11
2012,Michigan,Master's degree,235
2012,Michigan,Professional school degree,45
2012,Michigan,Some college but no degree,724
2012,Minnesota,10th grade,119
2012,Minnesota,11th grade,120
2012,Minnesota,12th grade no diploma,41
2012,Minnesota,"1st,2nd,3rd,or 4th grade",14
2012,Minnesota,5th or 6th grade,19
2012,Minnesota,7th and 8th grade,96
2012,Minnesota,9th grade,123
2012,Minnesota,Associate degree in college - academic program,197
2012,Minnesota,Associate degree in college - occupation/vocation program,287
2012,Minnesota,Bachelor's degree,769
2012,Minnesota,Children,1181
2012,Minnesota,Doctorate degree,45
2012,Minnesota,High school graduate - high school diploma or equivalent,820
2012,Minnesota,Less than 1st grade,14
2012,Minnesota,Master's degree,233
2012,Minnesota,Professional school degree,38
2012,Minnesota,Some college but no degree,601
2012,Mississippi,10th grade,61
2012,Mississippi,11th grade,81
2012,Mississippi,12th grade no diploma,54
2012,Mississippi,"1st,2nd,3rd,or 4th grade",10
2012,Mississippi,5th or 6th grade,13
2012,Mississippi,7th and 8th grade,60
2012,Mississippi,9th grade,61
2012,Mississippi,Associate degree in college - academic program,74
2012,Mississippi,Associate degree in college - occupation/vocation program,59
2012,Mississippi,Bachelor's degree,209
2012,Mississippi,Children,398
2012,Mississippi,Doctorate degree,7
2012,Mississippi,High school graduate - high school diploma or equivalent,395
2012,Mississippi,Less than 1st grade,2
2012,Mississippi,Master's degree,61
2012,Mississippi,Professional school degree,13
2012,Mississippi,Some college but no degree,250
2012,Missouri,10th grade,89
2012,Missouri,11th grade,113
2012,Missouri,12th grade no diploma,29
2012,Missouri,"1st,2nd,3rd,or 4th grade",4
2012,Missouri,5th or 6th grade,6
2012,Missouri,7th and 8th grade,78
2012,Missouri,9th grade,79
2012,Missouri,Associate degree in college - academic program,124
2012,Missouri,Associate degree in college - occupation/vocation program,95
2012,Missouri,Bachelor's degree,376
2012,Missouri,Children,778
2012,Missouri,Doctorate degree,36
2012,Missouri,High school graduate - high school diploma or equivalent,640
2012,Missouri,Less than 1st grade,1
2012,Missouri,Master's degree,153
2012,Missouri,Professional school degree,28
2012,Missouri,Some college but no degree,431
2012,Montana,10th grade,42
2012,Montana,11th grade,46
2012,Montana,12th grade no diploma,12
2012,Montana,"1st,2nd,3rd,or 4th grade",2
2012,Montana,5th or 6th grade,2
2012,Montana,7th and 8th grade,28
2012,Montana,9th grade,23
2012,Montana,Associate degree in college - academic program,55
